University
南榮科技大學 Nan Jeon University of Science and Technology (NJU)
南開科技大學 Nan Kai University of Technology (NKUT)
僑光科技大學 Overseas Chinese University (OCU)
樹德科技大學 Shu‑Te University (STU)
南臺科技大學 Southern Taiwan University of Science and Technology (STUST)
聖約翰科技大學 St. John’s University (SJU)
大華科技大學 Ta Hwa University of Science and Technology (TUST)
臺南應用科技大學 Tainan University of Technology (TUT)
臺北城市科技大學 Taipei City University of Science and Technology (TPCU)
台北海洋科技大學 Taipei University of Marine Technology (TUMT)
臺灣觀光學院 Taiwan Hospitality and Tourism University (THTU)
大仁科技大學 Tajen University (TAJEN)
德明財經科技大學 Takming University of Science and Technology (TMUST)
環球科技大學 TransWorld University (TWU)
東方設計大學 Tung Fang Design University (TFU)
東南科技大學 Tungnan University (TNU)
慈濟科技大學 Tzu Chi University of Science and Technology (TCUST)
萬能科技大學 Vanung University (VNU)
文藻外語大學 Wenzao Ursuline University of Languages (WZU)
吳鳳科技大學 WuFeng University (WFU)
元培醫事科技大學 Yuanpei University of Medical Technology (YUMT)
育達科技大學 Yu Da University of Science and Technology (YDU)
亞太創意技術學院 Asia‑Pacific Institute of Creativity (APIC)
經國管理暨健康學院 Ching Kuo Institute of Management and Health (CKIMH)
大漢技術學院 Dahan Institute of Technology (DAHAN)
和春技術學院 Fortune Institute of Technology (FIT)
蘭陽技術學院 Lan Yang Institute of Technology (LYIT)
黎明技術學院 Lee‑Ming Institute of Technology (LIT)
南亞技術學院 Nanya Institute of Technology (NANYA)
大同技術學院 Tatung Institute of Commerce and Technology (TTC)
慈惠醫護管理專科學校 Tzu Hui Institute of Technology (TZUHUI)
耕莘健康管理專科學校 Cardinal Tien College of Healthcare and Management (CTCN)
崇仁醫護管理專科學校 Chung Jen College of Nursing, Health Science and Management (CJC)
新生醫護管理專科學校 Hsin Sheng College of Medical Care and Management (HSC)
仁德醫護管理專科學校 Jen‑Teh Junior College of Medicine, Nursing and Management (JENTE)
馬偕醫護管理專科學校 Mackay Medicine, Nursing and Management College (MKC)
敏惠醫護管理專科學校 Min‑Hwei College of Health Care Management (MHCHCM)
樹人醫護管理專科學校 Shu Zen College of Medicine and Management (SZMC)
聖母醫護管理專科學校 St. Mary’s Medicine Nursing and Management College (SMC)
育英醫護管理專科學校 Yuh‑Ing Junior College of Health Care and Management (YUHING)
空軍航空技術學院 Air Force Institute of Technology (AFATS)
陸軍專科學校 Army Academy R.O.C. (AAROC)
中央警察大學 Central Police University (CPU)
國防醫學院 National Defense Medical Center (NDMC)
國防大學 National Defense University (NDU)
中華民國空軍軍官學校 Republic of China Air Force Academy (CAFA)
中華民國陸軍軍官學校 Republic of China Military Academy (ROCMA)
中華民國海軍軍官學校 Republic of China Naval Academy (CNA)
臺灣警察專科學校 Taiwan Police College (TPC)
基督教台灣浸會神學院 Taiwan Baptist Theological Seminary (TBTS)
臺北基督學院 Taipei Christian College (TCC)
一貫道天皇學院 I-Kuan Tao College (IKTC)
一貫道崇德學院 I-Kuan Tao Chung-De Institute (IKTCDI)
台灣神學研究學院 Taiwan Theological College and Seminary (TTCS)
台灣基督長老教會南神神學院 Taiwan Presbyterian Theological Seminary (TPTS)
中華福音神學研究學院 China Evangelical Seminary (CES)
唯心聖教學院 Weixin Shengjiao College (WSC)
福智佛教學院 Bliss & Wisdom Buddhist College (BWBC)
