Rank 2024,Name,CKPG,GICS Industry,GICS Sector,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Water Whole Universe Percentrank,Water Top Quartile Percentrank,Water Penalty,Waste Productivity,Waste Productivity Score,Waste Whole Universe Percentrank,Waste Top Quartile Percentrank,Waste Penalty,VOC Productivity,VOC Productivity Score,VOC Whole Universe Percentrank,VOC Penalty,NOX Productivity,NOX Productivity Score,NOX Whole Universe Percentrank,NOX Penalty,SOX Productivity,SOX Productivity Score,SOX Whole Universe Percentrank,SOX Penalty,PM Productivity,PM Productivity Score,PM Whole Universe Percentrank,PM Penalty,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Cash Taxes Paid Whole Universe EBITDA Percentrank,Cash Taxes Paid Top Decile Ratio Percentrank,Cash Taxes Paid Penalty,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO to average worker pay ratio,CEO Average Worker Pay Score,Retirement contributions FTE,Retirement contributions FTE Percentrank,Projected benefit obligation FTE,Projected benefit obligation FTE Percentrank,Fair value projected benefit obligation,Fair value projected benefit obligation Percentrank,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Injury Rate Percentrank,Injury Rate Top Quartile Percentrank,Injury Rate Penalty,Fatalities Per Employee Ratio,Fatalities Whole Universe Percentrank,Fatalities Penalty,Employee Turnover Ratio,Employee Turnover Score,Non male Boards Ratio,Non male Boards Score,Non male Executives Ratio,Non male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Sustainability Paylink Variable Ratio,Sustainability Paylink Variable Ratio Score,Supplier Score,Political Influence (Bonus) Score,Fines Sum,Fines Percentrank,Fines Deduction,Overall Score
42,Yadea Group Holdings Ltd,Non-road transport equipment manufacturing,Automobiles,Consumer Discretionary,China,"Wuxi, China","$7,722,646,832","$7,355",57.70%,"$49,209",25.00%,"$9,538",41.60%,41.30%,,,"$215,814",13.30%,71.30%,,,,,,,,,,,,,,,,,,,8.30%,26.20%,47.70%,,,100.00%,100.00%,100.00%,100.00%,7:1,100.00%,"$1,992",27.30%,,,,,20.50%,,,,,,0.000084,40.20%,3.00%,6.10%,76.50%,12.50%,22.80%,11.10%,37.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,2.90%,0%,,,,B
43,Li Auto Inc,"Cars and trucks manufacturing, including parts",Automobiles,Consumer Discretionary,China,"Beijing, China","$11,260,153,188","$12,682",70.60%,"$107,512",66.80%,"$13,512",61.90%,41.80%,,,"$463,644",35.80%,66.30%,,,"$1,083,749,104",71.30%,0.263374486,1.00%,,,,,,,,,,,,,2.90%,3.40%,,,,100.00%,100.00%,100.00%,100.00%,95:1,25.70%,,,,,,,,7.218,2.50%,98.90%,,,0,,,32.00%,13.60%,12.50%,22.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,41.00%,0%,,,,B-
44,Maxeon Solar Technologies Ltd,Semiconductor and electronic components manufacturing,Semiconductors & Semiconductor Equipment,Information Technology,Singapore,"Singapore, Singapore","$1,060,113,000",$825,11.80%,"$4,422",10.00%,,,,,,"$226,085",15.40%,42.10%,,,,,,,,,,,,,,,,,,,8.10%,34.70%,,,,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,0.27,34.90%,48.30%,,,0,,,,,0.00%,0.00%,22.20%,60.90%,44.40%,97.30%,0.00%,0.00%,0.00%,0.00%,,,34.70%,0%,,,,B-
45,Kering SA,"Retail, except grocery and auto","Textiles, Apparel & Luxury Goods",Consumer Discretionary,France,"Paris, France","$31,381,456,398","$109,484",91.80%,"$261,469",75.30%,"$30,373",65.90%,44.10%,,,"$3,745,895",51.50%,50.90%,,,,,,,,,,,,,,,,,,,27.60%,92.40%,96.70%,95.60%,0.00%,26.50%,100.00%,4.60%,92.90%,151:1,12.50%,$359,8.30%,"$4,310",62.50%,40.90%,22.20%,6.30%,0.672,60.90%,73.40%,,,0,,,20.00%,75.70%,46.20%,94.10%,38.50%,88.00%,15.40%,75.30%,0.00%,0.00%,100.00%,100.00%,5.30%,64.70%,,0%,,,,B-
46,Tesla Inc,"Cars and trucks manufacturing, including parts",Automobiles,Consumer Discretionary,U.S.,"Austin, U.S.","$81,462,000,000",,,"$133,544",71.50%,"$24,220",98.50%,60.70%,,,"$1,230,265",61.00%,77.70%,,,,,,2.50%,,,,,,,,,,,,,5.60%,10.70%,95.60%,18.30%,2.50%,100.00%,100.00%,100.00%,100.00%,,,$712,22.60%,,,,,16.90%,,,,,,,,,,,25.00%,52.00%,0.00%,0.00%,25.00%,87.70%,50.00%,97.90%,0.00%,0.00%,,,26.50%,0%,,,,B-
47,Umicore SA,Basic inorganic chemicals and synthetics,Chemicals,Materials,Belgium,"Brussels, Belgium","$39,221,844,430","$8,266",92.90%,"$57,259",80.90%,"$4,079",74.50%,73.20%,,,"$463,085",80.10%,80.00%,,,,,,2.50%,"$158,792,892",87.50%,51.30%,0.00%,"$103,761,493",72.20%,67.00%,1.00%,,,,,16.60%,63.20%,79.20%,,,12.00%,81.80%,63.30%,91.70%,32:1,52.90%,"$5,701",92.90%,"$75,021",52.60%,48.90%,10.00%,69.60%,0.974,13.30%,81.00%,,,0,,,6.00%,90.90%,40.00%,86.40%,14.30%,42.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,15.10%,90.40%,,0%,,,,B-
48,SAP SE,IT services except telecom and hosting,Software,Information Technology,Germany,"Walldorf, Germany","$47,603,407,226","$30,225",33.50%,"$168,329",25.50%,"$54,218",57.00%,42.40%,,,,,,,,,,,,,,,,,,,,,,,,27.80%,96.40%,,,,29.90%,80.00%,3.20%,83.30%,30:1,50.00%,"$6,294",81.40%,"$25,121",55.60%,101.50%,83.80%,70.90%,,,,,,0,,,8.00%,100.00%,44.40%,91.20%,28.60%,73.80%,22.20%,84.70%,0.00%,0.00%,100.00%,100.00%,4.40%,60.30%,,0%,,,,B-
49,McCormick & Company Inc,Food and beverage manufacturing,Food Products,Consumer Staples,U.S.,"Hunt Valley, U.S.","$6,350,500,000","$6,066",92.90%,"$80,976",96.80%,"$2,481",73.40%,57.70%,,,"$294,045",48.80%,64.70%,,,,,,,,,,,,,,,,,,,14.30%,46.80%,76.10%,,,46.30%,92.60%,22.20%,94.30%,,,"$2,207",51.10%,"$69,511",94.40%,97.10%,66.50%,53.60%,0.52,54.80%,66.70%,,,0,,,21.00%,31.80%,36.40%,76.10%,37.50%,87.80%,27.30%,89.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.60%,0%,,,,B-
50,NIO Inc,"Cars and trucks manufacturing, including parts",Automobiles,Consumer Discretionary,China,"Shanghai, China","$12,250,177,716","$5,973",57.40%,"$42,750",46.90%,,,,,,,,,,,"$1,227,472,717",73.20%,0.257201646,1.00%,,,,,,,,,,,,,0.80%,1.50%,0.10%,,,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,,,,,,,,,,,16.70%,31.50%,0.00%,0.00%,16.70%,77.90%,16.70%,82.50%,0.00%,0.00%,,,11.30%,0%,,,,B-
51,BCE Inc,Telecom providers,Diversified Telecommunication Services,Communication Services,Canada,"Verdun, Canada","$19,280,048,810","$3,860",42.00%,"$75,217",74.00%,"$15,050",12.40%,47.30%,,,"$1,683,030",15.10%,55.10%,,,,,,,,,,,,,,,,,,,7.90%,61.20%,96.40%,25.50%,2.00%,24.20%,95.20%,77.90%,83.80%,137:1,15.40%,"$2,592",28.60%,"$365,308",97.10%,115.90%,98.00%,45.20%,1.11,7.70%,83.20%,,,0.000022,82.00%,1.00%,18.30%,28.30%,35.70%,75.40%,36.40%,86.00%,14.30%,74.30%,9.10%,71.10%,100.00%,100.00%,2.40%,50.70%,56.30%,0%,,,,B-
52,Investec Ltd,Banks,Capital Markets,Financials,South Africa,"Sandton, South Africa","$3,436,460,492","$85,145",60.90%,"$130,634",11.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30%,83.40%,71.50%,,,14.20%,89.20%,,,43:1,50.00%,"$9,437",88.40%,,,,,66.30%,,,,,,0,,,11.00%,60.60%,42.90%,88.00%,0.00%,0.00%,42.90%,96.80%,50.00%,97.90%,100.00%,100.00%,7.40%,70.30%,,0%,,,,B-
53,Novo Nordisk A/S,Pharmaceutical and biotech manufacturing,Pharmaceuticals,Health Care,Denmark,"Bagsvaerd, Denmark","$72,105,332,281","$78,957",94.40%,"$336,603",93.60%,"$18,404",95.30%,63.10%,,,"$2,089,888",74.40%,70.90%,,,"$1,368,222,624",96.90%,0.450617284,0.00%,,,,,,,,,,,,,18.90%,70.20%,97.20%,80.50%,0.00%,4.30%,50.00%,46.70%,94.70%,76:1,23.10%,"$7,729",76.30%,,,,,57.20%,0.3,33.30%,52.00%,,,0.000036,69.70%,2.00%,8.00%,94.10%,46.20%,94.10%,20.00%,59.90%,7.70%,60.30%,10.00%,72.50%,100.00%,100.00%,4.20%,59.80%,,0%,,,,B-
54,Puma SE,Textiles and clothing manufacturing,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Germany,"Erlangen, Germany","$13,053,273,380","$278,402",96.70%,"$312,773",75.00%,"$88,661",79.40%,20.00%,,,"$6,579,271",63.80%,31.80%,,,,,,,,,,,,,,,,,,,16.90%,64.50%,73.80%,,,53.80%,100.00%,0.10%,36.40%,226:1,16.70%,"$7,637",92.30%,"$8,900",55.60%,79.00%,51.50%,71.00%,0.45,44.40%,63.00%,,,0,,,35.00%,33.30%,33.30%,66.90%,50.00%,97.90%,16.70%,77.90%,0.00%,0.00%,100.00%,100.00%,5.00%,63.30%,,100%,,,,B-
55,Samsung SDI Co Ltd,Semiconductor and electronic components manufacturing,"Electronic Equipment, Instruments & Components",Information Technology,South Korea,"Yongin-si, South Korea","$24,675,116,171",$809,14.20%,"$14,103",45.10%,"$2,583",70.80%,73.00%,,,"$2,039,266",68.60%,55.90%,,,,,,,,,,,,,,,,,,,8.70%,36.20%,87.20%,,,87.30%,55.30%,93.70%,59.50%,135:1,33.30%,$364,4.80%,"$26,850",79.50%,125.30%,98.90%,23.20%,0.0065,83.70%,2.10%,,,0,,,13.00%,47.20%,28.60%,55.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,58.90%,0%,"$207,692",95.90%,1.00%,B-
56,"Rivian Automotive, Inc","Cars and trucks manufacturing, including parts",Automobiles,Consumer Discretionary,U.S.,"Irvine, U.S.","$1,658,000,000",,,,,,,,,,,,,,,,,,2.50%,,,,,,,,,,,,,0.00%,,,,,100.00%,100.00%,100.00%,100.00%,55:1,51.40%,,,,,,,,,,,,,,,,,,42.90%,88.00%,50.00%,97.90%,14.30%,74.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.20%,0%,,,,B-
57,Intesa Sanpaolo SpA,Banks,Banks,Financials,Italy,"Turin, Italy","$33,106,966,187","$30,433",33.20%,"$195,778",27.60%,"$18,789",12.20%,52.50%,,,"$112,227,004",72.60%,14.70%,,,,,,,,,,,,,,,,,,,26.20%,99.10%,97.20%,,,16.20%,92.50%,,,102:1,7.10%,"$6,141",71.60%,"$21,576",34.00%,90.60%,30.40%,53.70%,0.1244,12.20%,27.80%,,,0,,,7.00%,78.80%,42.10%,87.70%,5.90%,29.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,15.60%,91.30%,45.90%,0%,,,,B-
58,Novozymes A/S,Pharmaceutical and biotech manufacturing,Chemicals,Materials,Denmark,"Bagsvaerd, Denmark","$2,777,456,917","$1,155",13.60%,"$7,348",12.10%,$319,5.90%,72.00%,,,"$375,332",36.10%,48.70%,,,,,,2.50%,,,,,,,,,,,,,16.30%,61.00%,69.10%,,,66.90%,100.00%,14.00%,84.20%,35:1,56.40%,"$8,120",81.60%,,,,,61.20%,0.34,24.20%,55.50%,,,0,,,11.40%,70.60%,27.30%,52.60%,50.00%,97.90%,0.00%,0.00%,12.50%,77.70%,100.00%,100.00%,9.00%,75.20%,37.30%,0%,,,,C+
59,Elisa Oyj,Telecom providers,Diversified Telecommunication Services,Communication Services,Finland,"Helsinki, Finland","$3,283,711,434","$19,643",62.60%,"$57,863",67.20%,"$181,421",69.10%,6.00%,,,"$82,339,805",87.70%,6.50%,,,,,,,,,,,,,,,,,,,10.70%,80.30%,73.30%,,,16.30%,85.70%,62.90%,78.40%,31:1,73.10%,"$11,073",82.10%,"$12,591",20.60%,74.50%,27.50%,61.60%,,,,,,0,,,25.00%,8.70%,37.50%,82.00%,18.20%,52.00%,12.50%,72.10%,0.00%,0.00%,100.00%,100.00%,3.40%,56.00%,,0%,,,,C+
60,Arçelik AS,Appliances and lighting fixtures manufacturing,Household Durables,Consumer Discretionary,Turkey,"Istanbul, Turkey","$26,594,873,722","$20,642",87.50%,"$224,900",85.00%,"$17,848",81.30%,49.50%,,,"$4,863,730",79.20%,44.20%,,,,,,,,,,,,,,,,,,,5.50%,6.70%,85.10%,,,10.00%,100.00%,14.90%,100.00%,,,$698,100.00%,,,,,75.00%,0.224,80.00%,42.80%,,,0,,,13.00%,66.70%,16.70%,28.40%,16.70%,47.00%,8.30%,61.50%,0.00%,0.00%,0.00%,100.00%,,,23.70%,100%,,,,C+
61,Pirelli & C SpA,Plastic and rubber product manufacturing,Auto Components,Consumer Discretionary,Italy,"Milan, Italy","$10,201,520,731","$1,545",28.10%,"$14,318",25.00%,"$1,631",33.30%,68.20%,,,"$322,069",62.50%,70.20%,,,"$14,188,485",100.00%,0.783950617,0.00%,,,,,,,,,,,,,12.40%,14.30%,81.80%,,,22.90%,100.00%,15.80%,100.00%,548:1,25.00%,$995,66.70%,"$44,694",100.00%,105.50%,80.00%,70.00%,0.4,66.70%,60.20%,,,0,,,13.00%,100.00%,20.00%,38.40%,0.00%,0.00%,46.70%,97.40%,0.00%,0.00%,100.00%,100.00%,21.70%,96.50%,,0%,,,,C+
62,Singapore Telecommunications Ltd,Telecom providers,Diversified Telecommunication Services,Communication Services,Singapore,"Singapore, Singapore","$17,899,632,803","$6,661",55.60%,"$37,135",46.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90%,53.10%,93.50%,22.40%,2.50%,11.70%,40.50%,59.60%,73.00%,28:1,80.80%,"$12,733",85.70%,,,,,64.30%,0.16,65.40%,33.80%,,,0,,,22.00%,17.40%,42.90%,88.00%,36.40%,86.00%,28.60%,90.00%,18.20%,83.50%,100.00%,100.00%,8.70%,74.10%,65.90%,0%,,,,C+
63,Xinyi Solar Holdings Ltd,Glass and ceramics,Semiconductors & Semiconductor Equipment,Information Technology,China,"Wuhu, China","$3,502,223,150",$86,17.90%,$891,9.20%,$334,14.70%,74.20%,,,"$56,616",17.70%,77.20%,,,,,,2.50%,"$1,013,668",15.60%,76.90%,2.50%,"$2,307,130",37.20%,79.20%,2.00%,"$24,838,462",100.00%,36.90%,0.00%,10.50%,33.30%,71.90%,,,100.00%,100.00%,100.00%,100.00%,213:1,15.40%,"$1,853",73.30%,,,,,55.00%,0.67,30.80%,73.30%,,,0,,,30.00%,18.80%,11.10%,15.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,,,,0%,,,,C+
64,Cisco Systems Inc,Telephones and telecom equip manufacturing,Communications Equipment,Information Technology,U.S.,"San Jose, U.S.","$51,557,000,000","$46,647",79.90%,"$86,080",32.20%,"$21,699",76.20%,56.70%,,,"$32,102,740",89.60%,29.40%,,,,,,,,,,,,,,,,,,,22.00%,87.00%,98.40%,88.20%,0.00%,41.80%,80.00%,0.10%,40.00%,366:1,18.20%,"$2,221",63.60%,"$2,823",30.00%,,,47.70%,0.03,62.50%,8.80%,,,0,,,13.00%,84.60%,41.70%,86.70%,40.00%,91.20%,16.70%,77.90%,20.00%,85.80%,100.00%,100.00%,6.80%,69.10%,,0%,,,,C+
65,KB Financial Group Inc,Banks,Banks,Financials,South Korea,"Seoul, South Korea","$18,408,153,362","$16,370",11.50%,"$142,713",16.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,24.70%,98.90%,94.90%,,,5.50%,75.00%,,,11:1,89.30%,"$17,649",100.00%,"$97,580",76.30%,117.70%,76.30%,88.10%,,,,,,0,,,6.00%,83.80%,33.30%,66.90%,14.30%,42.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,,100%,,,,C+
66,Sanofi SA,Pharmaceutical and biotech manufacturing,Pharmaceuticals,Health Care,France,"Paris, France","$66,301,826,974","$7,480",67.70%,"$93,914",66.60%,"$5,716",62.70%,75.40%,,,"$2,818,476",89.30%,65.80%,,,"$47,392,299",8.50%,0.858024691,2.50%,,,,,,,,,,,,,17.30%,65.40%,98.50%,74.30%,1.00%,27.20%,83.30%,10.20%,78.90%,98:1,15.40%,"$4,008",34.20%,"$145,675",78.30%,79.70%,21.70%,25.70%,0.26,39.40%,47.40%,,,0.00001,93.30%,1.00%,12.00%,66.70%,37.50%,82.00%,27.30%,72.20%,12.50%,72.10%,9.10%,71.10%,100.00%,100.00%,14.80%,88.90%,8.80%,0%,,,,C+
67,HP Inc,Computers and peripherals manufacturing,"Technology Hardware, Storage & Peripherals",Information Technology,U.S.,"Palo Alto, U.S.","$62,983,000,000","$41,091",55.00%,"$259,083",48.20%,,,,,,"$5,563,869",28.70%,54.90%,,,,,,,,,,,,,,,,,,,15.20%,67.90%,93.90%,66.00%,1.00%,77.80%,100.00%,0.40%,30.00%,787:1,11.10%,"$2,343",21.40%,"$100,669",84.60%,100.00%,93.50%,35.60%,0.06,50.00%,16.90%,,,0,,,13.00%,69.20%,46.20%,94.10%,30.80%,78.00%,30.80%,92.00%,38.50%,95.20%,0.00%,100.00%,0.00%,0.00%,32.00%,100%,,,,C+
68,Essity AB (publ),Packaging,Household Products,Consumer Staples,Sweden,"Stockholm, Sweden","$18,020,892,387",$459,67.20%,"$6,803",64.50%,$182,45.80%,91.60%,,,"$31,671",50.30%,90.90%,,,,,,,,,,,,,,,,,,,12.60%,51.90%,87.50%,,,32.60%,50.00%,9.90%,70.00%,65:1,75.00%,"$3,709",100.00%,"$79,601",90.00%,80.40%,55.60%,86.40%,0.7,33.30%,75.00%,,,0.000021,84.50%,1.00%,16.30%,66.70%,38.50%,82.30%,33.30%,79.30%,0.00%,0.00%,8.30%,69.10%,100.00%,100.00%,16.30%,91.80%,38.40%,0%,,,,C+
