Rank 2023,Name,CKPG,GICS Sector,GICS Industry,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink,Sustainability Pay Link Ratio,Sustainability Pay Link Score,Supplier Score,Political Influence #1,Political Influence #2,Political Influence #3,Fines Deduction,Overall Score
21,Atlantica Sustainable Infrastructure PLC,Power Generation,Utilities,Independent Power and Renewable Electricity Producers,United Kingdom,"Brentford, United Kingdom","$1,211,749,000.00",$41.70,15.40%,$596,26.60%,$70.00,44.90%,,,,,"$2,373,651.30",56.60%,"$2,019,581,666.70",82.20%,,,2%,15%,84%,78%,91%,79.50%,27,66.70%,,,,0.00%,,,0,100.00%,,,25%,27.80%,14.30%,29.90%,25.00%,86.00%,0.00%,0.00%,1,1,8.70%,57.50%,,Yes,Yes,Yes,,B+
22,McCormick & Company Inc,Food and beverage manufacturing,Consumer Staples,Food Products,USA,"Hunt Valley, USA","$6,317,900,000.00","$5,136.40",84.20%,"$65,393",94.10%,"$2,600.00",78.60%,,,,,,,,,,,14%,27%,49%,97%,7%,91.90%,,,"$2,128.60","$82,314.30",85.90%,53.30%,0.2,82.80%,,,18.00%,34.30%,36%,64.60%,16.70%,36.20%,27.30%,88.20%,0.00%,0.00%,1,1,,,,Yes,Yes,Yes,,B+
23,Novozymes A/S,Pharmaceutical and biotech manufacturing,Materials,Chemicals,Denmark,"Bagsvaerd, Denmark","$2,239,850,187.30",$818.10,9.80%,"$8,853",10.20%,,,,,,,,,,,,,17%,47%,53%,100%,11%,92.80%,35,42.90%,"$6,977.60",,,58.70%,,,,,11.80%,65.50%,27%,31.40%,50.00%,97.40%,45.50%,97.80%,37.50%,95.30%,1,1,0.00%,0.00%,11.50%,Yes,Yes,Yes,,B+
24,Iberdrola SA,Power Generation,Utilities,Electric Utilities,Spain,"Bilbao, Spain","$56,851,744,186.00",$126.00,34.60%,"$3,712",63.90%,"$1,128.90",80.60%,,,,,"$968,975.70",37.20%,"$48,179,444.20",76.40%,,,7%,45%,72%,56%,85%,65.90%,93,33.30%,"$10,995.80","$348,686.70",90.00%,64.30%,,,0.00018,17.70%,,,43%,80.30%,27.30%,66.00%,0.00%,0.00%,0.00%,0.00%,1,1,50.00%,100.00%,79.80%,Yes,Yes,Yes,5.00%,B+
25,BT Group PLC,Personal and business services,Communication Services,Diversified Telecommunication Services,United Kingdom,"London, United Kingdom","$30,564,516,129.00","$47,015.40",74.70%,"$41,583",19.30%,,,,,,,,,,,,,4%,8%,57%,99%,38%,98.60%,70,46.50%,"$18,403.00","$818,625.90",98.00%,92.20%,0.3,59.00%,,,17.00%,61.20%,42%,77.50%,27.30%,66.00%,16.70%,75.70%,18.20%,80.60%,1,1,6.10%,49.20%,,Yes,Yes,Yes,5.00%,B+
26,Alphabet Inc,IT services except telecom and hosting,Communication Services,Interactive Media & Services,USA,"Mountain View, USA","$257,637,000,000.00","$13,737.00",20.40%,"$38,910",7.30%,,,,,,,,,,,,,14%,58%,89%,98%,6%,95.20%,,0.00%,"$5,853.00",,,64.00%,,,,,,,27%,31.10%,20.00%,48.20%,36.40%,94.30%,40.00%,96.20%,1,1,0.00%,0.00%,,Yes,Yes,Yes,5.00%,B+
27,Vitasoy International Holdings Ltd,Food and beverage manufacturing,Consumer Staples,Food Products,Hong Kong,"Hong Kong, Hong Kong","$1,108,287,589.50",$930.90,16.40%,"$8,863",11.10%,$280.70,13.40%,,,,,,,,,,,16%,37%,91%,100%,100%,100.00%,58,64.30%,,"$1,576.60",99.60%,0.00%,0.7,75.00%,,,31.00%,14.00%,18%,14.00%,20.00%,48.20%,36.40%,94.30%,40.00%,96.20%,1,1,,,,Yes,No,No,,B+
28,City Developments Ltd,Real estate and leasing,Real Estate,Real Estate Management & Development,Singapore,"Singapore, Singapore","$3,214,018,359.90","$2,101.10",55.60%,"$19,968",36.50%,$887.40,38.50%,,,,,,,,,,,17%,63%,73%,100%,76%,100.00%,24,52.80%,"$5,228.00","$19,044.50",84.50%,56.70%,,,,,,,22%,22.10%,16.70%,36.20%,11.10%,66.20%,0.00%,0.00%,1,1,,,0.40%,Yes,Yes,Yes,1.00%,B+
29,Neste Oyj,"Refining, petrochemicals and basic organic chemicals",Energy,"Oil, Gas & Consumable Fuels",Finland,"Espoo, Finland","$22,017,441,860.50",$635.50,79.40%,"$9,381",79.00%,"$2,376.90",68.50%,,,"$6,945,565.30",40.80%,"$20,199,487.90",78.00%,,,,,9%,34%,39%,95%,71%,96.00%,23,71.80%,"$16,408.40","$104,417.30",70.60%,72.20%,0.2,83.30%,0,100.00%,,,33%,56.50%,33.30%,80.50%,0.00%,0.00%,0.00%,0.00%,1,1,7.30%,52.00%,25.80%,Yes,Yes,Yes,,B+
30,Ecolab Inc,Personal products (retail chemical),Materials,Chemicals,USA,"Saint Paul, USA","$12,733,100,000.00","$1,978.00",42.60%,"$30,832",53.10%,,,,,"$3,478,989,071.00",71.80%,,,,,,,13%,24%,71%,100%,53%,100.00%,164,39.40%,"$1,280.90","$101,251.10",91.60%,45.10%,,,,,17.00%,36.00%,42%,77.50%,34.60%,81.00%,16.70%,75.70%,23.10%,85.60%,0,1,,,20.70%,Yes,Yes,Yes,2.50%,B+
